;ERT;KNN;LR;MLP;RF;SVM
A161616-Without ;83.1;62.8;50.7;61.4;80.6;69.9
A888-Without ;91.4;77.1;58.6;73.6;91;83.5
A444-Without;93.2;83.1;63.2;76.2;91.3;86.9
A161616-With;75.6;61.8;50.6;63.3;67.7;65.5
A888-With;81.7;77.4;58.1;72;77.8;72
A444-With;84.4;80.1;63;76.1;77.2;73.9
Haralick-Without;90;50.4;48.8;40.1;86.3;62.8
HOG-Without;72.5;60;73;75.3;60.5;75.3
Haralick-With;92.7;55.6;47;33.2;88.8;65.2
HOG-With;95.4;81.3;92.2;92.4;92.7;92.4
DenseNet-Without;91.4;84;90.1;57.3;87.3;33.3
GoogleNet-Without;92.4;49.2;89.4;85.7;89.4;60.5
Inception v3-Without;88.6;83.1;92.6;91.1;80;34.6
OverFeat-Without;89.5;85.8;91.2;91.7;85.8;92.5
Resnet 50-Without;93.5;46.4;94.5;93.3;89.9;73.1
VGG16-Without;89.9;79.1;91.7;89.8;82.5;31.3
VGG19-Without;90.1;84.4;92.7;90.9;78.7;33.1
Xception v1-Without;90.1;87.8;93.5;92.2;82.1;91.9
DenseNet-With;96.2;85.5;94.3;62.2;93.9;42.5
GoogleNet-With;92.5;88.6;92.4;92;88.6;95.4
Inception v3-With;93;87.6;95.5;94.3;86.8;46.4
OverFeat-With;87.2;82.6;92.7;92.2;82;93
Resnet 50-With;92.6;90.1;95.2;94.7;89.6;96.5
VGG16-With;95;86.4;94.7;92.4;89.2;33.1
VGG19-With;94.4;84.5;94.6;92.4;87.1;33.7
Xception v1-With;93.5;89.9;95.2;94.8;86.8;94.8
